Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID	topic
June 6, 2022	riafan.ru	https://riafan.ru/23481697-mintrud_ssha_otchitalsya_o_rezkom_uskorenii_inflyatsii_v_strane	минтруд сша отчитался о резком ускорении инфляции в стране	1	Inflation in the West
June 6, 2022	riafan.ru	https://riafan.ru/23479341-amerikanskie_zriteli_abc_razozlilis_iz_za_shutok_baidena_pro_rekordnuyu_inflyatsiyu_v_ssha	американские зрители abc разозлились из за шуток байдена про рекордную инфляцию в сша	1	Inflation in the West
May 30, 2022	riafan.ru	https://riafan.ru/23470940-antirossiiskie_sanktsii_ugrozhayut_evrope_inflyatsionnim_shokom	антироссийские санкции угрожают европе инфляционным шоком	1	Inflation in the West
May 30, 2022	riafan.ru	https://riafan.ru/23466383-minfin_ssha_poschital_sobstvennie_prognozi_naschet_inflyatsii_slishkom_optimistichnimi	минфин сша посчитал собственные прогнозы насчет инфляции  слишком оптимистичными	1	Inflation in the West
May 30, 2022	riafan.ru	https://riafan.ru/23466222-baiden_snyal_s_sebya_obyazannost_otvechat_za_bor_bu_s_inflyatsiei_v_ssha	байден снял с себя обязанность отвечать за борьбу с инфляцией в сша	1	Inflation in the West
May 23, 2022	riafan.ru	https://riafan.ru/23452787-v_infobrics_ob_yasnili_chem_obernulas_popitka_baidena_obvinit_rf_v_inflyatsii_v_ssha	в infobrics объяснили  чем обернулась попытка байдена обвинить рф в инфляции в сша	1	Inflation in the West
May 16, 2022	riafan.ru	https://riafan.ru/23448652-ekonomist_pereslavskii_otmetil_uspeh_kitaya_i_yaponii_v_bor_be_s_inflyatsiei	экономист переславский отметил успех китая и японии в борьбе с инфляцией	1	Inflation in the West
May 16, 2022	riafan.ru	https://riafan.ru/23448640-avtori_ft_nazvali_estoniyu_litvu_i_bolgariyu_liderami_po_rostu_inflyatsii_v_es	авторы ft назвали эстонию  литву и болгарию лидерами по росту инфляции в ес	1	Inflation in the West
May 16, 2022	riafan.ru	https://riafan.ru/23426229-ekonomist_losev_sprognoziroval_rezkii_skachok_inflyatsii_v_ssha	экономист лосев спрогнозировал резкий скачок инфляции в сша	1	Inflation in the West
May 16, 2022	riafan.ru	https://riafan.ru/23292033-evrokomissiya_sprognozirovala_vsplesk_inflyatsii_v_rossii	еврокомиссия спрогнозировала всплеск инфляции в россии	1	Inflation in the West
May 9, 2022	riafan.ru	https://riafan.ru/23194667-ekonomist_golubev_rasskazal_kak_bor_ba_ssha_za_energorinok_es_vizvala_rost_inflyatsii_v_mire	экономист голубев рассказал  как борьба сша за энергорынок ес вызвала рост инфляции в мире	1	Inflation in the West
May 2, 2022	riafan.ru	https://riafan.ru/23166930-nenavist_k_rossii_privedet_evropu_k_rostu_bezrabotitsi_spadu_promishlennosti_i_inflyatsii	ненависть к россии приведет европу к росту безработицы  спаду промышленности и инфляции	1	Inflation in the West
May 2, 2022	riafan.ru	https://riafan.ru/23163610-eto_nablyudaetsya_vpervie_za_40_let_ekonomika_ssha_stolknulas_s_nebivaloi_inflyatsiei	это наблюдается впервые за    лет  экономика сша столкнулась с небывалой инфляцией	1	Inflation in the West
April 25, 2022	riafan.ru	https://riafan.ru/23152450-ekonomist_shul_gin_predpolozhil_na_chto_gotovi_ssha_radi_bor_bi_s_inflyatsiei	экономист шульгин предположил  на что готовы сша ради борьбы с инфляцией	1	Inflation in the West
April 25, 2022	riafan.ru	https://riafan.ru/23150022-lagard_prizvala_ispol_zovat_vse_instrumenti_chtobi_sderzhat_inflyatsiyu_v_evrope	лагард призвала  использовать все инструменты   чтобы сдержать инфляцию в европе	1	Inflation in the West
