fetchdate_orig	page_domain_root	page_url	title_new	ID
13/04/2022 00:00:00	anna-news.info	https://anna-news.info/anna-news-na-fronte-mariupol-osvobozhdaetsya-ot-fashizma/	anna news на фронте  мариуполь   освобождается от фашизма	89665
16/04/2022 00:00:00	anna-news.info	https://anna-news.info/pervyj-sostav-iz-osvobozhdyonnogo-energodara-napravilsya-v-donbass/	первый состав из освобождённого энергодара направился в донбасс	98306
17/04/2022 00:00:00	anna-news.info	https://anna-news.info/v-osvobozhdyonnye-rajony-lnr-nachal-rabotu-mezhdunarodnyj-tribunal-po-prestupleniyam-ukrainy/	в освобождённые районы лнр начал работу международный трибунал по преступлениям украины	93401
17/04/2022 00:00:00	anna-news.info	https://anna-news.info/v-osvobozhdyonnye-rajony-lnr-nachal-rabotu-mezhdunarodnyj-tribunal-po-prestupleniyam-ukrainy/	в освобождённых районах лнр начал работу международный трибунал по преступлениям украины	93409
21/04/2022 00:00:00	anna-news.info	https://anna-news.info/glava-minoborony-rossii-shojgu-dolozhil-prezidentu-ob-osvobozhdenii-mariupolya/	глава минобороны россии шойгу доложил президенту об освобождении мариуполя	118767
21/04/2022 00:00:00	anna-news.info	https://anna-news.info/osvobozhdyon-gorod-kremennaya-v-luganskoj-narodnoj-respublike/	освобождён город кременная в луганской народной республике	118634
26/04/2022 00:00:00	anna-news.info	https://anna-news.info/gumanitarnaya-pomoshh-v-osvobozhdyonnom-rajone-luganskoj-narodnoj-respubliki/	гуманитарная помощь в освобождённом районе луганской народной республики	122186
01/05/2022 00:00:00	anna-news.info	https://anna-news.info/v-osvobozhdyonnom-sele-lnr-zhiteli-svoimi-silami-vosstanavlivayut-sovetskie-memorialy/	в освобождённом селе лнр жители своими силами восстанавливают советские мемориалы	102349
18/05/2022 00:00:00	anna-news.info	https://anna-news.info/mvd-latvii-lishilos-glavy-na-fone-krizisa-vokrug-pamyatnika-osvoboditelyam-rigi/	мвд латвии лишилось главы на фоне кризиса вокруг памятника освободителям риги	107652
21/05/2022 00:00:00	anna-news.info	https://anna-news.info/ns-dnr-v-respublike-studentov-i-vypusknikov-shkol-i-vuzov-osvobodili-ot-mobilizatsii/	нс днр  в республике студентов и выпускников школ и вузов освободили от мобилизации	83500
21/05/2022 00:00:00	anna-news.info	https://anna-news.info/osvobozhdenie-mariupolya-krupnejshaya-pobeda-russkogo-oruzhiya-v-postsovetskij-period/	освобождение мариуполя   крупнейшая победа русского оружия в постсоветский период	76988
21/05/2022 00:00:00	anna-news.info	https://anna-news.info/osvobozhdenie-mariupolya-krupnejshaya-pobeda-russkogo-oruzhiya-v-postsovetskij-period/	освобождение мариуполя крупнейшая победа русского оружия в постсоветский период	76981
22/05/2022 00:00:00	anna-news.info	https://anna-news.info/gumanitarnaya-pomoshh-zhitelyam-osvobozhdyonnyh-rajonov-lnr/	гуманитарная помощь жителям освобождённых районов лнр	92477
25/05/2022 00:00:00	anna-news.info	https://anna-news.info/wargonzo-glava-dnr-pushilin-pobyval-v-osvobozhdyonnom-krasnolimanskom-rajone/	wargonzo  глава днр пушилин побывал в освобождённом краснолиманском районе	115687
29/05/2022 00:00:00	anna-news.info	https://anna-news.info/lidery-frantsii-i-frg-prosyat-putina-osvobodit-sdavshihsya-v-plen-ukrainskih-ekstremistov-s-azovstali/	лидеры франции и фрг просят путина освободить сдавшихся в плен украинских экстремистов с  азовстали	71745
01/06/2022 00:00:00	anna-news.info	https://anna-news.info/pokaz-dokumentalnogo-filma-chistaya-pobeda-osvobozhdenie-donbassa/	показ документального фильма  чистая победа  освобождение донбасса	125202
